# Rendement instantané des régimes en points — filet de sécurité
# source_id: openfisca_points (régimes couverts), agirc_arrco_points,
#            ircantec_points, cnavpl_parametres (les autres)
# unite: pension annuelle brute obtenue par euro de cotisation effectivement
#        versée (part salarié + part employeur), à l'âge du taux plein
#
# CE FICHIER N'EST PLUS LA SOURCE PRINCIPALE
# ------------------------------------------
# Depuis l'intégration de regimes/valeurs_point.csv, le moteur accumule des
# POINTS année par année pour tout régime dont il connaît le prix d'achat :
# cotisation / (taux d'appel × salaire de référence), converti en rente à la
# liquidation par la valeur de service. L'approximation par rendement ne sert
# plus que là où cette série ne va pas — CNAVPL, MSA, CNBF, CANCAVA, ORGANIC,
# et les années postérieures au dernier barème publié — et de filet de sécurité
# si le fichier des valeurs du point venait à manquer.
#
# Le rendement instantané est le rapport
#
#   rendement effectif = valeur_service / (taux_appel × salaire_reference)
#
# Repère : Agirc-Arrco 2025, salaire de référence 20,1877 €, valeur de service
# 1,4386 €, taux d'appel 127 % -> (1,4386 / 20,1877) / 1,27 = 5,61 %.
#
# fiabilite:
#   haute   : moyenne des rendements calculés sur les valeurs du point publiées
#   estimee : reconstitution, pour les régimes dont le point n'est pas intégré.
#             La confrontation aux valeurs réelles a montré que ces
#             reconstitutions pouvaient se tromper largement — l'Ircantec des
#             années 1970 était estimé à 11 % quand ses barèmes en donnent 22,8 %.
#             Les régimes qui restent à ce niveau sont donc à prendre avec la
#             même méfiance.
regime,debut,fin,rendement,fiabilite
agirc,1947,1969,0.1577,haute
agirc,1970,1979,0.1367,haute
agirc,1980,1989,0.1177,haute
agirc,1990,1999,0.0919,haute
agirc,2000,2009,0.0706,haute
agirc,2010,2018,0.0647,haute
arrco,1961,1969,0.1358,haute
arrco,1970,1979,0.1173,haute
arrco,1980,1989,0.1073,haute
arrco,1990,1999,0.0861,haute
arrco,2000,2009,0.0694,haute
arrco,2010,2018,0.0645,haute
unirs,1957,1961,0.1136,haute
agirc_arrco,2019,2100,0.0581,haute
ircantec,1971,1989,0.2281,haute
ircantec,1990,2008,0.1225,haute
ircantec,2009,2100,0.0852,haute
rco_artisans,1979,2012,0.0674,estimee
nric,2004,2012,0.0674,estimee
rci,2013,2100,0.0674,haute
cnavpl,1949,2003,0.080,estimee
cnavpl,2004,2100,0.0620,estimee
cancava,1949,1972,0.090,estimee
organic,1949,1972,0.090,estimee
msa_non_salaries,1952,2100,0.0600,estimee
cnbf,1948,2100,0.0650,estimee
cnbf_complementaire,1979,2100,0.0850,estimee
rafp,2005,2100,0.0389,haute
ircec_raap,1962,2100,0.1090,haute
# CARCDSF complémentaire : rendement RECALCULÉ ANNÉE PAR ANNÉE depuis les
# mémentos du chirurgien-dentiste, qui donnent pour chaque exercice la
# cotisation forfaitaire, les six points qu'elle attribue — d'où le prix du
# point, forfait ÷ 6 — et la valeur de service en regard. La caisse écrit
# elle-même que la part proportionnelle achète au même prix : « 18 181 € /
